id,owner_id,name,text,data_type
11,9,"Виды деятельности",металлолом,8
10,10,"Виды деятельности","все для стройки и для ремонта",8
0,10,"Полное название","МУП База строительных товаров ""Лесоторговая""",0
0,7,"Полное название","Байда Валерий Иванович",7
1,7,"Виды деятельности","оптовая торговля продуктами",8
2,7,"Юридический адрес","г. Орел, ул. Поселковая 13а",11
3,7,Руководитель,"Байда В.И.",12
7,11,"Виды деятельности","компьютеры, комплектующие",8
8,11,Телефон,45-12-03,9
9,11,Руководитель,"Понитков М.Ф.",12
4,8,"Полное название","ИП Бобровникова Ольга Петровна",7
5,8,"Виды деятельности","торговля колготками",8
6,8,Руководитель,"Бобровникова О.П.",12
